,task,method,metric,weights_type,ablation_type,plot_type,auc,n_points,test_kl_div,test_kl_div_max,test_kl_div_min,test_loss,test_loss_max,test_loss_min
4,tracr-reverse,SP,l2,trained,zero_ablation,roc_nodes,0.9473684210526316,13,0.05701901230098159,0.08291746662761171,0.040658661314266056,0.16668194062432273,0.24322498431420173,0.1196361383912354
5,tracr-reverse,ACDC,l2,trained,zero_ablation,roc_nodes,1.0,44,6.139742936284165e-09,6.139742936284165e-09,6.139742936284165e-09,1.1842378477584098e-13,1.1842378477584098e-13,1.1842378477584098e-13
6,tracr-proportion,HISP,l2,trained,zero_ablation,roc_nodes,0.9090909090909091,11,0.006953031342062686,0.012515456415712833,0.0,0.079629628194703,0.1433333307504654,0.0
7,tracr-proportion,SP,l2,trained,zero_ablation,roc_nodes,0.875,13,0.00047583433722189246,0.003191274501333452,4.4207732178488944e-07,0.005507163526603127,0.03703372347210129,4.332094071669089e-06
8,tracr-proportion,ACDC,l2,trained,zero_ablation,roc_nodes,1.0,23,0.08731074134508769,0.09108591079711914,0.08642131090164185,0.0071075840720108575,0.11851852387189865,0.0
9,docstring,HISP,kl_div,trained,zero_ablation,roc_nodes,0.1846268378931695,103,7.9628005264648465,11.055105209350586,8.276665575124298e-09,7.9628005264648465,11.055105209350586,8.276665575124298e-09
10,docstring,SP,kl_div,trained,zero_ablation,roc_nodes,0.4708728829331844,34,2.6206120419548826,5.99997296333313,1.19574166983366,2.6206120419548826,5.99997296333313,1.19574166983366
11,docstring,ACDC,kl_div,trained,zero_ablation,roc_nodes,0.9843662758235623,19,5.183578042423024,6.844270706176758,3.1236326694488525,5.183578042423024,6.844270706176758,3.1236326694488525
12,greaterthan,HISP,kl_div,trained,zero_ablation,roc_nodes,0.4074426271078991,447,12.400046053626966,18.927595138549805,1.3888289629448991e-08,12.400046053626966,18.927595138549805,1.3888289629448991e-08
13,greaterthan,SP,kl_div,trained,zero_ablation,roc_nodes,0.13794852288576143,5,0.30665606322387856,0.3890552751719952,0.2257472138851881,0.30665606322387856,0.3890552751719952,0.2257472138851881
14,greaterthan,ACDC,kl_div,trained,zero_ablation,roc_nodes,0.983723215417776,27,10.393205184936523,18.613109588623047,5.32358980178833,10.393205184936523,18.613109588623047,5.32358980178833
0,ioi,HISP,kl_div,trained,zero_ablation,roc_edges,0.2252457667577147,447,10.36553805294778,20.503204345703125,2.2848002600994732e-08,10.36553805294778,20.503204345703125,2.2848002600994732e-08
